idx,type,value
34797,DATE,一年
34798,GPE,台灣
34799,NORP,澳洲
34800,ORG,B5台科大
34801,GPE,澳洲
34802,LANGUAGE,中文
34803,GPE,泰國
34804,PERSON,B2 
34805,GPE,德國
34806,ORG,Lufthansa航空檢測分析單位
34807,ORG,歐盟
34808,GPE,德國
34809,GPE,台灣
34810,TIME,7小時
34811,CARDINAL,100萬
34812,DATE,第一年
34813,GPE,台灣
34814,DATE,23天
34815,LOC,歐洲
34816,PERCENT,45%
34817,GPE,德國
34818,GPE,德國
34819,GPE,台灣
34820,GPE,德國
34821,GPE,德國
34822,GPE,台灣
34823,GPE,德國
34824,GPE,柏林
34825,CARDINAL,百萬
34826,ORG,清大
34827,GPE,港
34828,CARDINAL,1.18
34829,GPE,德國
34830,GPE,法蘭克福
34831,PERCENT,5%~15%
34832,GPE,德國
34833,GPE,台灣
34834,EVENT,二戰
34835,LOC,歐洲
34836,LAW,勞工法
34837,NORP,德國
34838,CARDINAL,850
34839,PERCENT,80%
34840,LANGUAGE,德語
34841,GPE,台灣
34842,GPE,德國
34843,GPE,慕尼黑
34844,GPE,台灣
34845,NORP,台灣中國
34846,LOC,亞洲
34847,GPE,德國
34848,CARDINAL,一
34849,NORP,德國人
34850,DATE,20天
34851,CARDINAL,2016
34852,GPE,德國
34853,CARDINAL,100~150
34854,DATE,2.2年
34855,GPE,柏林
34856,LOC,亞洲
34857,GPE,德國
34858,GPE,德國
34859,GPE,台灣
34860,GPE,德意志
34861,GPE,台灣
34862,GPE,德國
34863,ORDINAL,第一
34864,CARDINAL,900
34865,LOC,歐洲
34866,LOC,歐洲
34867,DATE,2.5~3年
34868,GPE,台灣
34869,PERCENT,19%
34870,GPE,台灣
34871,GPE,漢堡
34872,ORG,Uni Bremen 
34873,LANGUAGE,英語
34874,CARDINAL,75
34875,PERCENT,5%
34876,LOC,歐洲
34877,NORP,歐盟國
34878,GPE,台灣
34879,CARDINAL,2.29
34880,NORP,台灣人
34881,NORP,台灣人
34882,CARDINAL,2.1
34883,GPE,德國
34884,TIME,1.5小時
34885,LOC,亞洲
34886,GPE,法國
34887,PERSON,盧
34888,GPE,德國
34889,GPE,德國
34890,GPE,美國
34891,LANGUAGE,中文
34892,NORP,中國
34893,GPE,台灣
34894,GPE,台灣
34895,LANGUAGE,中文
34896,GPE,英國
34897,DATE,24間
34898,LOC,亞洲
34899,GPE,台灣
34900,PERSON,羅素
34901,ORG,B1 
34902,NORP,台灣人
34903,ORG,亞洲理工學院
34904,CARDINAL,一
34905,DATE,6月
34906,DATE,10底
34907,GPE,閩
34908,ORG,台大
34909,MONEY,台大$$$哥
34910,CARDINAL,兩
34911,ORG,教育部
34912,ORG,B1 
34913,ORG,清大
34914,DATE,6月
34915,DATE,12月
34916,GPE,香港
34917,GPE,新加坡
34918,NORP,新加坡
34919,ORG,B10 語言學校
34920,MONEY,1100
34921,MONEY,$2450
34922,NORP,Los 
34923,GPE, San Jose 
34924,CARDINAL,30萬
34925,WORK_OF_ART, Google 
34926,GPE, California St 離 Foothill College 
34927,TIME,13 分鐘
34928,DATE,半年
34929,DATE,一年
34930,NORP,中國
34931,GPE,福建
34932,LANGUAGE,台灣腔
34933,LANGUAGE,普通話
34934,LANGUAGE,台灣國語
34935,GPE,英國
34936,PRODUCT,B18
34937,GPE,荷蘭
34938,GPE,英國
34939,PERSON,B17
34940,NORP,華人
34941,GPE,台灣
34942,GPE,灣區
34943,PERSON,B19
34944,DATE,十幾年
34945,NORP,陸商
34946,NORP,台灣人
34947,GPE,荷蘭
34948,GPE,大陸
34949,MONEY,50塊
34950,PERSON,台大姐
34951,ORG,台大
34952,GPE,安省
34953,GPE,加拿大
34954,DATE,半年
34955,CARDINAL,180000
34956,MONEY,$14
34957,DATE,後半年
34958,GPE,聖地牙哥
34959,GPE,大陸
34960,GPE,高教強市
34961,ORG,華科
34962,GPE,大陸
34963,GPE,大陸
34964,GPE,廣州
34965,GPE,武漢
34966,ORG,華科 斯
34967,GPE,大陸
34968,GPE,武漢
34969,ORG,上海交通大學
34970,GPE,臺灣
34971,GPE,港
34972,ORG,同濟大學
34973,GPE,廣州
34974,CARDINAL,985
34975,ORG,復旦大學
34976,GPE,臺
34977,GPE,上海
34978,GPE,澳
34979,DATE,兩年前
34980,GPE,臺灣
34981,PERSON,哈哈 ZJU
34982,ORG,B10
34983,ORDINAL,第一
34984,NORP,大陸人
34985,ORG,共黨
34986,ORG,共產黨
34987,ORG,共黨
34988,NORP,中國
34989,NORP,大陸人
34990,NORP,台灣人
34991,CARDINAL, 1100
34992,ORG,劍橋
34993,CARDINAL,一
34994,PRODUCT,B17
34995,CARDINAL,28
34996,DATE,明年
34997,CARDINAL,25
34998,CARDINAL,30
34999,DATE,今年
35000,DATE,今年10月
35001,LANGUAGE,日文
35002,GPE,台灣
35003,LANGUAGE,日語
35004,LANGUAGE,中文
35005,CARDINAL,一
35006,DATE,8個月
35007,DATE,14個月
35008,DATE,14個月
35009,LANGUAGE,英語
35010,NORP,台灣人
35011,NORP,哥倫比亞人
35012,LANGUAGE,中文
35013,GPE,台灣
35014,DATE,8週
35015,LANGUAGE,英語
35016,GPE,墨爾本
35017,LANGUAGE,中文
35018,PERSON, B3 B4
35019,PERSON,B29
35020,CARDINAL,18
35021,PERSON,B92
35022,ORG,acer
35023,ORG,acer
35024,ORDINAL,第一
35025,PRODUCT,QQ
35026,GPE,台灣
35027,GPE,台灣
35028,PRODUCT,B68
35029,GPE,天普
35030,NORP,台灣人
35031,PRODUCT,B95
35032,EVENT,B68 戰
35033,PERSON,arizona 
35034,GPE,奧蘭多
35035,PRODUCT,B96
35036,GPE,台灣
35037,GPE,中國
35038,GPE,中國
35039,GPE,大陸
35040,ORDINAL,第一
35041,TIME,一大早
35042,GPE,溫哥華
35043,ORG,B1 
35044,DATE,4個月
35045,NORP,台灣人
35046,ORG,教育集團
35047,NORP,美國人
35048,CARDINAL,三
35049,CARDINAL,兩
35050,CARDINAL,400~2000
35051,GPE,舊金山
35052,GPE,中國
35053,GPE,台灣
35054,NORP,大陸
35055,LANGUAGE,台語
35056,GPE,福建
35057,DATE,這兩天
35058,DATE,五月分
35059,LANGUAGE,英檢
35060,NORP,台灣人
35061,NORP,台灣人
35062,LANGUAGE,台語
35063,LANGUAGE,北京話
35064,LANGUAGE,台灣腔
35065,GPE,美國
35066,MONEY,一萬美金
35067,GPE,美國
35068,GPE,美國
35069,DATE,半年
35070,CARDINAL,一萬多
35071,MONEY,100美金
35072,GPE,美國西雅圖
35073,PRODUCT,QQ
35074,GPE,台灣
35075,GPE,台灣
35076,PRODUCT,B12
35077,CARDINAL,1100
35078,DATE,兩百年前
35079,NORP,回教
35080,GPE,日本
35081,GPE,台灣
35082,PERSON,B4 
35083,GPE,仁德
35084,LANGUAGE,台語
35085,NORP,日本人
35086,NORP,台灣人
35087,LANGUAGE,日語
35088,LANGUAGE,北京話
35089,NORP,台灣人
35090,LANGUAGE,日語
35091,NORP,朝鮮人
35092,CARDINAL,10-15
35093,DATE,去年
35094,LANGUAGE,中文
35095,GPE,台灣
35096,ORG,University
35097,GPE,美國
35098,DATE,今年
35099,GPE,多倫多
35100,GPE,加拿大
35101,GPE,加拿大 Kingston or Ottawa 
35102,GPE,渥太華
35103,NORP,加拿大地美人
35104,LOC,東岸
35105,GPE,魁北克
35106,ORG,B1 大公司
35107,GPE,美國
35108,CARDINAL,2000
35109,CARDINAL,兩
35110,DATE,2018
35111,GPE,矽谷
35112,CARDINAL,兩
35113,GPE,港
35114,DATE,四月多
35115,GPE,澳
35116,GPE,台
35117,GPE,加州灣區
35118,ORG,美國分公司
35119,PERSON,Acer 
35120,CARDINAL,1100
35121,TIME,二十分鐘
35122,CARDINAL,1100
35123,GPE,新加坡
35124,DATE,幾個月
35125,LANGUAGE,馬來華語
35126,LANGUAGE,台灣腔
35127,GPE,台灣
35128,NORP,臺灣
35129,GPE,臺灣
35130,NORP,臺灣
35131,LOC,東北
35132,GPE,費城
35133,NORP,台灣人
35134,TIME,一小時半
35135,GPE,天普
35136,DATE,今年
35137,LANGUAGE,英文
35138,LANGUAGE,英文
35139,DATE,三年前
35140,CARDINAL,兩
35141,DATE,一年
35142,LANGUAGE,英語
35143,GPE,新竹
35144,GPE,台北
35145,DATE,一年
35146,NORP,馬來西亞人
35147,LANGUAGE,台灣腔
35148,GPE,馬來西亞
35149,GPE,美國
35150,GPE,台灣
35151,GPE,美國
35152,GPE,台灣
35153,ORG,國高中
35154,LANGUAGE,台語
35155,NORP,中國人
35156,NORP,台灣人
35157,NORP,中國人
35158,CARDINAL,56
35159,CARDINAL,58
35160,PRODUCT,B52
35161,CARDINAL,57
35162,GPE,港澳台
35163,CARDINAL,7
35164,ORG,學海
35165,GPE,美國
35166,PERSON,B26
35167,NORP,中國
35168,NORP,中國人
35169,DATE,一整天
35170,CARDINAL,四
35171,DATE,7.8月
35172,NORP,台灣人
35173,LANGUAGE,台灣腔
35174,LANGUAGE,台灣腔
35175,NORP,中國腔
35176,NORP,中國人
35177,DATE,一個月
35178,ORDINAL,第二
35179,LANGUAGE,中文
35180,GPE,澳洲
35181,GPE,美國
35182,PERSON,玉鼎
35183,GPE,台灣
35184,DATE,35歲
35185,GPE,加拿大
35186,GPE,加拿大
35187,GPE,台灣
35188,GPE,台灣
35189,NORP,中國人
35190,CARDINAL,3
35191,LANGUAGE,英文
35192,LANGUAGE,澳洲腔
35193,GPE,美國
35194,GPE,台灣
35195,DATE,五年十年
35196,GPE,台灣
35197,CARDINAL,29
35198,ORG,天普台灣同學會
35199,TIME,今年秋季
35200,CARDINAL,一
35201,CARDINAL,一
35202,MONEY,好幾萬塊
35203,CARDINAL,一
35204,DATE,今年
35205,DATE,明年
35206,NORP,台灣
35207,NORP,中國
35208,NORP,台灣人
35209,GPE,中國
35210,ORG,華科
35211,GPE,美國
35212,GPE,台北
35213,CARDINAL,兩
35214,PRODUCT,QQ
35215,CARDINAL,兩
35216,PERSON,b1 b2 
35217,DATE,半年
35218,CARDINAL,4
35219,GPE,大陸
35220,NORP,大陸
35221,LANGUAGE,台灣腔
35222,ORG,華航
35223,CARDINAL,一
35224,TIME,10分鐘
35225,GPE,美國
35226,GPE,多倫多
35227,NORP,台灣人
35228,NORP,福建人
35229,LANGUAGE,普通話
35230,GPE,台灣
35231,NORP,美國
35232,LANGUAGE,英文
35233,PERSON,B6 
35234,NORP,美國
35235,NORP,華裔
35236,GPE,加拿大
35237,NORP,華裔
35238,NORP,台灣人
35239,LANGUAGE,中文字
35240,GPE,台灣
35241,GPE,澳洲
35242,GPE,台灣
35243,LANGUAGE,中文
35244,LANGUAGE,中文
35245,GPE,大陸
35246,GPE,美國
35247,ORG,芝加哥藝術學院
35248,CARDINAL,兩
35249,ORG,南加大
35250,ORG,芝加哥藝術學院
35251,DATE,幾年
35252,NORP,中國
35253,LANGUAGE,中文
35254,NORP,台灣人
35255,GPE,台灣
35256,LANGUAGE,中國腔
35257,GPE,中國
35258,TIME,10分鐘
35259,NORP,大陸人
35260,NORP,台灣人
35261,GPE,中國
35262,GPE,Canada Ontario 
35263,PERSON,B59 
35264,GPE,澳洲
35265,GPE,菲律賓
35266,GPE,菲
35267,CARDINAL,8
35268,DATE,一個月
35269,GPE,中國城
35270,LANGUAGE,英文
35271,GPE,東澳
35272,GPE,珀斯
35273,GPE,菲律賓
35274,NORP,華人
35275,NORP,中國人
35276,GPE,菲律賓
35277,NORP,華人
35278,LANGUAGE,中文
35279,NORP,華人
35280,GPE,菲律賓
35281,GPE,西澳
35282,GPE,珀斯
35283,NORP,澳洲
35284,GPE,澳洲
35285,ORG,台鋁
35286,DATE,三天
35287,TIME,17:00
35288,EVENT,IDP國際教育展
35289,MONEY,"6,000加幣"
35290,GPE,澳洲
35291,FAC,Urbanest
35292,MONEY,"6,000英鎊"
35293,CARDINAL,百
35294,GPE,美國
35295,GPE,高雄
35296,MONEY,"6,300澳幣"
35297,GPE,英國
35298,TIME,13:00
35299,ORDINAL,第一
35300,GPE,加拿大
35301,GPE,加拿大
35302,ORG,桂冠酒店
35303,GPE,紐西蘭
35304,MONEY,"17,500美金"
35305,TIME,20:30
35306,TIME,18:00
35307,GPE,澳洲
35308,GPE,英
35309,MONEY,約新台幣15萬元
35310,DATE,5週以上
35311,ORG,長榮
35312,EVENT,IDP國際教育展
35313,GPE,美國
35314,NORP,澳洲
35315,PERCENT,50%
35316,GPE,台北
35317,MONEY,15萬元
35318,NORP,中國人
35319,NORP,日本人
35320,NORP,台灣人
35321,CARDINAL,36
35322,PERSON,扁
35323,NORP,日本人
35324,LANGUAGE,台灣腔
35325,LANGUAGE,台灣腔
35326,NORP,華人
35327,NORP,台灣人
35328,GPE,山東
35329,GPE,中國
35330,GPE,美國
35331,PERSON,甘霖量
35332,PERSON,草支
35333,DATE,一年
35334,NORP,中國
35335,LANGUAGE,台灣腔
35336,GPE,台灣
35337,ORG,台灣教育部
35338,ORG,生物醫學系
35339,GPE,馬來西亞
35340,LANGUAGE,中文
35341,ORG,台灣大學醫檢系
35342,CARDINAL,一
35343,DATE,四年
35344,ORG,生科系
35345,PERSON,雅斯
35346,DATE,夏天
35347,ORDINAL,第二
35348,NORP,台灣人
35349,NORP,台灣人
35350,CARDINAL,426
35351,GPE,中國
35352,GPE,美國
35353,GPE,山東
35354,NORP,美國
35355,NORP,大陸
35356,GPE,大陸
35357,GPE,湖北
35358,PERSON,B17 
35359,GPE,愛爾蘭科克
35360,CARDINAL,一
35361,GPE,科克
35362,GPE,臺灣
35363,PRODUCT,B43
35364,LANGUAGE,中英文
35365,GPE,美國
35366,PERSON,B21 歐陽娜娜
35367,NORP,華僑
35368,LANGUAGE,英文
35369,LANGUAGE,中文
35370,NORP,美式
35371,NORP,華僑
35372,LANGUAGE,中文
35373,GPE,澳洲
35374,NORP,澳洲
35375,CARDINAL,四
35376,NORP,大陸人
35377,NORP,台灣
35378,GPE,中國
35379,NORP,中國
35380,NORP,台灣
35381,GPE,中國
35382,ORG,醫技系
35383,GPE,臺灣
35384,LANGUAGE,廣東話
35385,GPE,美國
35386,DATE,四月中
35387,DATE,前幾天
35388,LANGUAGE,台灣腔
35389,GPE,美國
35390,NORP,台灣人
35391,LANGUAGE,中文
35392,GPE,馬來西亞
35393,GPE,中國
35394,NORP,中國人
35395,GPE,新加坡
35396,GPE,台灣
35397,NORP,韓國人
35398,GPE,中國
35399,NORP,大陸人
35400,GPE,台灣
35401,DATE,初二那天
35402,DATE,三天後
35403,NORP,大陸人
35404,GPE,大陸
35405,FAC,六福村
35406,DATE,過年
35407,DATE,幾天
35408,CARDINAL,3
35409,CARDINAL,2
35410,LANGUAGE,馬來西亞式
35411,LANGUAGE,中文
35412,LANGUAGE,中文
35413,NORP,馬來西亞人
35414,NORP,台灣人
35415,DATE,一年
35416,LANGUAGE,台灣腔
35417,GPE,台灣
35418,GPE,韓國
35419,DATE,3個月
35420,GPE,台灣
35421,DATE,六月
35422,CARDINAL,三萬
35423,CARDINAL,一
35424,GPE,美國
35425,ORG,B1 
35426,PERCENT,90%
35427,GPE,高雄
35428,GPE,大陸
35429,NORP,高雄人
35430,NORP,台灣人
35431,NORP,大陸人
35432,NORP,大陸人
35433,NORP,大陸人
35434,GPE,越南
35435,GPE,越南
35436,GPE,越南
35437,GPE,韓國
35438,GPE,韓國
35439,LANGUAGE,台灣腔
35440,LANGUAGE,中文
35441,GPE,新加坡
35442,CARDINAL,四
35443,NORP,華僑
35444,LANGUAGE,臺語
35445,LANGUAGE,臺語
35446,GPE,中國大陸
35447,GPE,台灣
35448,NORP,台灣人
35449,GPE,台灣
35450,ORG,法律系
35451,PERSON,B20 
35452,ORG,國語會
35453,GPE,廣東
35454,LANGUAGE,客語
35455,LANGUAGE,台灣腔
35456,NORP,馬來
35457,LANGUAGE,台灣腔
35458,NORP,大陸人
35459,NORP,台灣人
35460,GPE,台灣
35461,GPE,台灣
35462,NORP,東北人
35463,NORP,中國
35464,GPE,中國
35465,GPE,台灣
35466,NORP,大陸人
35467,NORP,台灣人
35468,ORG,University 
35469,GPE,台灣
35470,GPE,台灣
35471,GPE,台灣
35472,ORDINAL,第一
35473,DATE,第四個月
35474,NORP,台灣
35475,GPE,英國
35476,GPE,台灣
35477,DATE,3年
35478,LOC,歐洲
35479,GPE,德國
35480,DATE,一年
35481,ORDINAL,第一
35482,DATE,2016年的元旦
35483,DATE,今天
35484,CARDINAL,2018
35485,GPE,德國
35486,GPE,德國
35487,GPE,台灣
35488,GPE,美國
35489,GPE,德國
35490,ORG,德國Uni Bremen
35491,NORP,台灣
35492,NORP,歐盟國
35493,LANGUAGE,英語
35494,GPE,法國
35495,DATE,一天秋季
35496,DATE,2年
35497,ORG,台灣DAAD
35498,GPE,美英國
35499,GPE,台灣
35500,GPE,德國
35501,GPE,德國
35502,MONEY,新台幣
35503,GPE,台灣
35504,GPE,德國
35505,DATE,2019年
35506,NORP,德國人
35507,GPE,日
35508,GPE,台灣
35509,DATE,2018 10月
35510,GPE,德國
35511,NORP,英
35512,GPE,英
35513,GPE,台灣
35514,GPE,德國
35515,DATE,2016年
35516,GPE,美
35517,GPE,德國
35518,DATE,兩個禮拜
35519,GPE,德國
35520,NORP,敘利亞
35521,CARDINAL,6
35522,CARDINAL,兩
35523,NORP,中國
35524,GPE,台灣
35525,GPE,台灣
35526,NORP,台灣
35527,GPE,台灣
35528,NORP,台灣人
35529,DATE,六年
35530,LANGUAGE,台灣腔
35531,GPE,中國
35532,DATE,一個禮拜
35533,GPE,台灣
35534,GPE,台灣
35535,GPE,台灣
35536,GPE,台灣
35537,GPE,台灣
35538,CARDINAL,一
35539,NORP,美國
35540,CARDINAL,十幾二十萬
35541,GPE,台灣
35542,CARDINAL,一
35543,CARDINAL,一
35544,CARDINAL,十幾二十萬
35545,CARDINAL,兩
35546,GPE,浙江
35547,GPE,台灣
35548,GPE,大陸
35549,GPE,台灣
35550,DATE,兩週
35551,GPE,台灣
35552,GPE,美國
35553,LANGUAGE,英文
35554,GPE,美國
35555,CARDINAL,三
35556,GPE,菲律賓
35557,LANGUAGE,英文
35558,DATE,兩個月
35559,DATE,今年暑假
35560,ORG,醫藥衛生管理學院
35561,ORG,B1 
35562,GPE,大陸
35563,LANGUAGE,台灣腔
35564,LANGUAGE,臺灣腔
35565,GPE,科索沃
35566,NORP,台灣
35567,GPE,美國
35568,CARDINAL,1000
35569,GPE,巴爾
35570,FAC, 1BB 3000
35571,GPE,舊金山市
35572,CARDINAL,三
35573,GPE,新加坡
35574,NORP,香港人
35575,PERSON,B8 
35576,LOC,歐洲
35577,GPE,美國
35578,GPE,溫哥華
35579,GPE,中國
35580,NORP,四川
35581,GPE,北京
35582,GPE,台灣
35583,CARDINAL,兩
35584,LANGUAGE,英文
35585,DATE,一個月
35586,GPE,美國
35587,CARDINAL,2
35588,GPE,重慶
35589,LANGUAGE,德文
35590,GPE,美國
35591,GPE,美國
35592,DATE,一個月
35593,GPE,美國
35594,DATE,一個月
35595,DATE,去年
35596,LOC,東海
35597,ORG,海大辦
35598,NORP,中國人
35599,GPE,台灣
35600,NORP,中國人
35601,NORP,大陸人
35602,DATE,兩個月
35603,ORG,B1 
35604,ORG,台大國際事務處
35605,CARDINAL,13
35606,GPE,中國
35607,LANGUAGE,台灣腔
35608,GPE,中國大陸
35609,ORG,廣州暨南大學
35610,DATE,今年
35611,ORG,台大
35612,GPE,澳洲
35613,ORDINAL,1
35614,NORP,中國
35615,NORP,台灣
35616,NORP,中國人
35617,GPE,香港
35618,LANGUAGE,普通話
35619,NORP,大陸人
35620,NORP,臺灣人
35621,NORP,大陸人
35622,GPE,美國
35623,GPE,英國
35624,LOC,歐洲
35625,NORP,台灣人
35626,LANGUAGE,台語
35627,NORP,中國人
35628,NORP,台灣人
35629,NORP,日本人
35630,NORP,中國人
35631,NORP,中國人
35632,CARDINAL,兩
35633,GPE,美國
35634,LANGUAGE,英文
35635,GPE,台灣
35636,NORP,台灣
35637,NORP,中國
35638,NORP,美式
35639,LANGUAGE,英文
35640,MONEY,650
35641,CARDINAL,大三
35642,CARDINAL,20～25萬
35643,GPE,多倫多
35644,LANGUAGE,英文
35645,DATE,一年
35646,LANGUAGE,英語
35647,NORP,台灣
35648,NORP,中國
35649,ORG,北航
35650,GPE,曼哈頓
35651,GPE,曼哈頓
35652,CARDINAL,1300-4000
35653,LANGUAGE,英文
35654,MONEY,650
35655,CARDINAL,大三
35656,CARDINAL,20～25萬
35657,GPE,多倫多
35658,LANGUAGE,英文
35659,DATE,一年
35660,LANGUAGE,英語
35661,NORP,香港人
35662,NORP,台灣人
35663,LANGUAGE,中文
35664,GPE,加拿大
35665,DATE,明年
35666,ORDINAL,1
35667,PERSON,卡卡卡
35668,LOC,歐洲
35669,LANGUAGE,英文
35670,GPE,中國
35671,GPE,大陸
35672,CARDINAL,一
35673,GPE,大陸
35674,GPE,香港
35675,DATE,數年
35676,ORG,NUS
35677,CARDINAL,兩
35678,CARDINAL,三
35679,NORP,香港人
35680,GPE,新加坡
35681,GPE,香港
35682,GPE,新加坡
35683,ORG,谷歌
35684,DATE,今天
35685,GPE,溫哥華
35686,NORP,華人
35687,PERSON,歐陽娜娜
35688,GPE,中國
35689,GPE,台灣
35690,GPE,泰國
35691,GPE,台灣
35692,CARDINAL,一
35693,ORDINAL,第二
35694,GPE,美國
35695,ORDINAL,第一
35696,GPE,美國
35697,LOC,歐洲
35698,DATE,2個月
35699,LANGUAGE,中文
35700,NORP,中國人
35701,NORP,台灣人
35702,TIME,4小時
35703,CARDINAL,33
35704,CARDINAL,1
35705,TIME,早上8點
35706,TIME,4小時
35707,CARDINAL,11
35708,CARDINAL,一
35709,DATE,3月初到5月
35710,CARDINAL,7
35711,TIME,晚上8點
35712,DATE,兩個禮拜
35713,TIME,下午
35714,TIME,11-12
35715,CARDINAL,3
35716,CARDINAL,一
35717,PRODUCT,QQ
35718,GPE,新加坡
35719,GPE,台灣
35720,GPE,新加坡
35721,GPE,馬來西亞
35722,PERSON,B2 
35723,NORP,中國人
35724,GPE,中國
35725,CARDINAL,兩
35726,NORP,中國人
35727,NORP,台灣人
35728,GPE,美國
35729,PERSON,B0
35730,CARDINAL,12
35731,LANGUAGE,英文
35732,GPE,美國
35733,CARDINAL,B0
35734,GPE,美國
35735,CARDINAL,兩
35736,DATE,去年
35737,GPE,西雅圖
35738,NORP,台灣
35739,NORP,中國人
35740,NORP,華人
35741,NORP,中國人
35742,GPE,香港
35743,LANGUAGE,中文
35744,NORP,日本
35745,NORP,韓國
35746,NORP,中國人
35747,NORP,台灣人
35748,GPE,台灣
35749,GPE,中國
35750,GPE,北京
35751,LANGUAGE,半北京腔
35752,NORP,北京
35753,GPE,台灣
35754,LANGUAGE,普通話
35755,CARDINAL,720
35756,ORG,土魯斯大學
35757,DATE,一個月
35758,GPE,法國
35759,CARDINAL,台幣五萬多
35760,DATE,十年前
35761,DATE,三個月
35762,GPE,法國
35763,CARDINAL,十萬
35764,CARDINAL,十萬
35765,DATE,兩個暑假
35766,CARDINAL,兩
35767,ORDINAL,第一
35768,CARDINAL,三
35769,DATE,九月
35770,DATE,七八月
35771,CARDINAL,一半
35772,GPE,美國
35773,PRODUCT,B10
35774,NORP,大馬人
35775,NORP,中國人
35776,NORP,台灣人
35777,PERSON,歐陽娜娜
35778,CARDINAL,一
35779,ORG,東北大學
35780,LANGUAGE,中文
35781,GPE,台灣
35782,GPE,台灣
35783,GPE,中國
35784,ORG,法國教育中心
35785,LANGUAGE,德語
35786,CARDINAL,兩
35787,NORP,大陸人
35788,GPE,泰國
35789,GPE,泰國
35790,NORP,台灣人
35791,GPE,泰國
35792,GPE,美國
35793,DATE,明年
35794,PERSON,B4 
35795,PERSON,北清
35796,GPE,遼寧
35797,LANGUAGE,台語
35798,NORP,中國
35799,GPE,台灣
35800,DATE,三天
35801,PERSON,哈哈 
35802,GPE,加拿大
35803,LANGUAGE,台灣腔
35804,GPE,中國
35805,CARDINAL,一半
35806,LANGUAGE,英國腔
35807,GPE,中國
35808,GPE,台灣
35809,NORP,大陸人
35810,NORP,中國
35811,LANGUAGE,台灣腔
35812,CARDINAL,一
35813,LANGUAGE,台灣腔
35814,GPE,台灣
35815,GPE,德國
35816,PERSON,歐陽娜娜
35817,GPE,大陸
35818,GPE,台灣
35819,GPE,日本
35820,GPE,大陸
35821,CARDINAL,五
35822,DATE,一學期
35823,CARDINAL,四肢
35824,ORG,教育系
35825,GPE,大陸
35826,LANGUAGE,台灣腔
35827,LANGUAGE,台灣腔
35828,LANGUAGE,英文
35829,LANGUAGE,英文
35830,NORP,美式
35831,NORP,中國
35832,GPE,陸劇
35833,NORP,香港人
35834,NORP,台灣
35835,ORG,美國大學
35836,NORP,東北人
35837,LANGUAGE,台語
35838,NORP,英國
35839,LANGUAGE,英文
35840,LANGUAGE,英國腔
35841,NORP,大陸人
35842,NORP,中國人
35843,NORP,台灣
35844,GPE,台灣
35845,GPE,泰國
35846,GPE,泰國
35847,GPE,中國
35848,GPE,台灣
35849,GPE,泰國
35850,GPE,中國
35851,NORP,泰國籍
35852,LANGUAGE,英文
35853,PERSON,B8 
35854,NORP,中國
35855,NORP,泰國
35856,LANGUAGE,泰語
35857,LANGUAGE,泰語
35858,DATE,三個月
35859,DATE,三個月
35860,NORP,香港人
35861,GPE,台灣
35862,NORP,台灣人
35863,TIME,一個小時
35864,ORG,B7 DB
35865,GPE,西雅圖
35866,DATE,六年
35867,GPE,台灣
35868,GPE,維多利亞
35869,GPE,美國
35870,GPE,德國
35871,PERSON,B9 
35872,GPE,美國
35873,NORP,台灣人
35874,NORP,大陸人
35875,NORP,台灣人
35876,NORP,台灣人
35877,NORP,台灣人
35878,LANGUAGE,中文
35879,LANGUAGE,台灣腔
35880,GPE,西亞
35881,DATE,一個月
35882,GPE,溫哥華
35883,GPE,加拿大
35884,LOC,新加坡亞洲
35885,NORP,美
35886,GPE,澳洲
35887,CARDINAL,一
35888,DATE,兩個禮拜
35889,GPE,澳洲
35890,NORP,歐
35891,GPE,澳洲
35892,CARDINAL,六
35893,DATE,三個月
35894,GPE,加拿大
35895,GPE,台灣
35896,DATE,去年一月
35897,DATE,一年
35898,DATE,半年後
35899,GPE,加拿大
35900,DATE,六個月後
35901,DATE,兩年
35902,DATE,36歲
35903,DATE,一年
35904,CARDINAL,1
35905,DATE,今年
35906,CARDINAL,一
35907,PERSON,維多利亞
35908,CARDINAL,一
35909,CARDINAL,24萬
35910,DATE,六個月
35911,GPE,加拿大
35912,GPE,加拿大
35913,DATE,十年
35914,CARDINAL,一
35915,LOC,歐洲
35916,GPE,紐西蘭
35917,PERSON,維多利亞
35918,DATE,兩年
35919,DATE,六個月
35920,CARDINAL,4/8
35921,DATE,3/19
35922,PERSON,B19
35923,GPE,澳洲
35924,GPE,澳洲
35925,NORP,泰國人
35926,NORP,泰國人
35927,GPE,泰國
35928,GPE,泰國
35929,GPE,泰國
35930,GPE,台灣
35931,NORP,泰國人
35932,DATE,前一年
35933,GPE,泰國
35934,CARDINAL,兩
35935,GPE,泰國
35936,CARDINAL,79
35937,DATE,一個月
35938,DATE,三個月以上
35939,GPE,美國
35940,CARDINAL,八萬
35941,GPE,台灣中國
35942,GPE,美國
35943,GPE,俄羅斯
35944,GPE,俄羅斯
35945,NORP,台灣人
35946,GPE,紐約
35947,LANGUAGE,中文
35948,ORDINAL,第一
35949,NORP,俄國人
35950,NORP,台灣人
35951,GPE,台灣
35952,LANGUAGE,俄文
35953,GPE,中國
35954,GPE,蘇維埃共和國
35955,GPE,中國
35956,DATE,今天
35957,GPE,台灣
35958,GPE,台灣
35959,GPE,俄羅斯
35960,GPE,中國
35961,NORP,中國人
35962,GPE,台灣
35963,NORP,中國人
